"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm29","qm","1","29","frc1155","frc1585","frc4071","18","","frc1126","frc174","frc73","14",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm30","qm","1","30","frc191","frc4023","frc639","24","","frc3687","frc378","frc4203","44",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm31","qm","1","31","frc250","frc3842","frc4508","73","","frc1551","frc1765","frc3799","41",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm32","qm","1","32","frc1518","frc3157","frc578","22","","frc2228","frc3015","frc888","54",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm33","qm","1","33","frc1111","frc1591","frc4505","20","","frc1155","frc2340","frc3181","0",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm34","qm","1","34","frc1559","frc176","frc3687","81","","frc1511","frc378","frc3951","62",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm35","qm","1","35","frc2265","frc3173","frc4023","66","","frc3003","frc3842","frc48","64",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm36","qm","1","36","frc1405","frc4071","frc4508","57","","frc145","frc3157","frc4203","40",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm37","qm","1","37","frc1765","frc3015","frc639","64","","frc1591","frc2809","frc772","24",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm38","qm","1","38","frc174","frc3799","frc4505","36","","frc156","frc578","frc888","28",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm39","qm","1","39","frc1507","frc250","frc4093","80","","frc1585","frc2228","frc451","23",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm40","qm","1","40","frc1551","frc3181","frc73","59","","frc1126","frc340","frc907","42",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm41","qm","1","41","frc1450","frc191","frc2340","84","","frc1518","frc3838","frc3842","54",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm42","qm","1","42","frc145","frc3799","frc48","52","","frc1155","frc1559","frc639","33",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm43","qm","1","43","frc1111","frc1511","frc156","40","","frc1405","frc1765","frc250","54",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm44","qm","1","44","frc2228","frc4203","frc772","64","","frc3687","frc4505","frc73","40",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm45","qm","1","45","frc1507","frc1551","frc2809","76","","frc176","frc191","frc578","58",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm46","qm","1","46","frc2340","frc4071","frc451","10","","frc1585","frc2265","frc3003","31",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm47","qm","1","47","frc3157","frc3181","frc3951","16","","frc174","frc3173","frc378","70",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm48","qm","1","48","frc1518","frc340","frc888","46","","frc1591","frc4093","frc907","25",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm49","qm","1","49","frc1450","frc3015","frc3838","94","","frc1126","frc4023","frc4508","16",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm50","qm","1","50","frc176","frc3003","frc4203","62","","frc1155","frc145","frc2228","56",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm51","qm","1","51","frc378","frc3799","frc3842","31","","frc1507","frc4071","frc73","19",""
