"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf1m3","sf","1","3","frc1276","frc133","frc1519","0","","frc1058","frc40","frc42","0",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf2m1","sf","2","1","frc1547","frc296","frc58","0","","frc176","frc319","frc562","29",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf2m2","sf","2","2","frc1547","frc296","frc58","32","","frc176","frc319","frc562","46",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf2m3","sf","2","3","frc1547","frc296","frc58","0","","frc176","frc319","frc562","0",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_f1m1","f","1","1","frc1276","frc133","frc1519","57","","frc176","frc319","frc562","20",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_f1m2","f","1","2","frc1276","frc133","frc1519","60","","frc176","frc319","frc562","18",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_f1m3","f","1","3","frc1276","frc133","frc1519","0","","frc176","frc319","frc562","0",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm1","qm","1","1","frc11","frc136","frc1403","49","","frc1366","frc1807","frc293","27",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm2","qm","1","2","frc1617","frc223","frc25","38","","frc1672","frc75","frc87","16",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm3","qm","1","3","frc1156","frc1626","frc1689","23","","frc1089","frc1811","frc528","40",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm4","qm","1","4","frc1412","frc381","frc41","20","","frc1495","frc1616","frc869","0",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm5","qm","1","5","frc1882","frc433","frc555","34","","frc102","frc103","frc88","49",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm6","qm","1","6","frc1382","frc1676","frc48","32","","frc1048","frc1923","frc896","0",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm7","qm","1","7","frc1860","frc550","frc714","17","","frc1228","frc1367","frc56","23",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm8","qm","1","8","frc1813","frc486","frc522","35","","frc219","frc303","frc613","42",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm9","qm","1","9","frc1257","frc225","frc375","88","","frc1600","frc563","frc637","27",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm10","qm","1","10","frc1187","frc1279","frc335","15","","frc1218","frc1563","frc1931","1",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm11","qm","1","11","frc1302","frc1881","frc224","38","","frc1089","frc1403","frc1617","34",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm12","qm","1","12","frc102","frc1382","frc381","50","","frc136","frc528","frc75","39",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm13","qm","1","13","frc433","frc714","frc869","4","","frc11","frc1672","frc1923","32",""
