"key","number","name","city","state_prov","country","rookie_year"
"frc1458","1458","Red Tie Robotics","Danville","California","USA","2004"
"frc1466","1466","Webb Robotics","Knoxville","Tennessee","USA","2004"
"frc1468","1468","Hicksville J-Birds","Hicksville","New York","USA","2004"
"frc1474","1474","Titans","Tewksbury","Massachusetts","USA","2004"
"frc1477","1477","Texas Torque","Conroe","Texas","USA","2004"
"frc148","148","Robowranglers","Greenville","Texas","USA","1992"
"frc1481","1481","The Riveters","Farmington","Michigan","USA","2004"
"frc1482","1482","Grizzlies","Calgary","Alberta","Canada","2004"
"frc1492","1492","Team CAUTION","Phoenix","Arizona","USA","2004"
"frc1493","1493","Falcons","Albany","New York","USA","2004"
"frc1495","1495","Red Devils","West Grove","Pennsylvania","USA","2004"
"frc1501","1501","Team THRUST","Huntington","Indiana","USA","2005"
"frc1502","1502","Technical Difficulties","Chelsea","Michigan","USA","2005"
"frc1504","1504","Desperate Penguins","Okemos","Michigan","USA","2005"
"frc1506","1506","Metal Muscle","Flint","Michigan","USA","2005"
"frc1507","1507","Warlocks","Lockport","New York","USA","2005"
"frc151","151","Tough Techs","Nashua","New Hampshire","USA","1992"
"frc1510","1510","Wildcats","Portland","Oregon","USA","2005"
"frc1511","1511","Rolling Thunder","Penfield","New York","USA","2005"
"frc1512","1512","The Big Red","Concord","New Hampshire","USA","2005"
"frc1515","1515","MorTorq","Beverly Hills","California","USA","2005"
"frc1517","1517","AMP'D UP","Concord","New Hampshire","USA","2005"
"frc1518","1518","Raider Robotics","Palmyra","New York","USA","2005"
"frc1519","1519","Mechanical Mayhem","Milford","New Hampshire","USA","2005"
"frc1522","1522","DOTM - Defenders of the Multiverse","Mechanicsville","Virginia","USA","2005"
"frc1523","1523","MARS (Mega Awesome Robotic Systems)","Jupiter","Florida","USA","2005"
"frc1528","1528","MTR (Monroe Trojan Robotics)","Monroe","Michigan","USA","2005"
"frc1529","1529","CyberCards","Greenwood","Indiana","USA","2005"
"frc1533","1533","Triple Strange","Greensboro","North Carolina","USA","2005"
"frc1537","1537","Robotic Knights","Uniondale","New York","USA","2005"
"frc1538","1538","The Holy Cows","San Diego","California","USA","2005"
"frc1539","1539","Clover Eagle Robotics","Clover","South Carolina","USA","2005"
"frc1540","1540","Flaming Chickens","Portland","Oregon","USA","2005"
"frc1541","1541","MidloCanics","Midlothian","Virginia","USA","2005"
"frc1546","1546","Chaos, Inc.","Baldwin","New York","USA","2005"
"frc1547","1547","""Where's Waldo?""","Whitby","Ontario","Canada","2005"
"frc155","155","The TechnoNuts","Berlin","Connecticut","USA","1994"
"frc1551","1551","The Grapes of Wrath","Naples","New York","USA","2005"
"frc1553","1553","KC Robotics Team","Lugoff","South Carolina","USA","2005"
"frc1554","1554","Oceanside Kraken","Oceanside","New York","USA","2005"
"frc1555","1555","CryoFrost","Elkhart","Indiana","USA","2005"
"frc1557","1557","12 Volt Bolt","Leesburg","Florida","USA","2005"
"frc1559","1559","Devil Tech","Victor","New York","USA","2005"
"frc156","156","RPM  - Robotics Plus Mayhem","Fairview","Pennsylvania","USA","1997"
"frc1561","1561","Roboducks","Oklahoma City","Oklahoma","USA","2005"
