"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm80","qm","1","80","frc2167","frc4208","frc935","31","frc1982","frc1984","frc2346","45"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm81","qm","1","81","frc2164","frc2335","frc3798","0","frc1785","frc2560","frc938","15"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm82","qm","1","82","frc1806","frc2410","frc3764","11","frc1208","frc1737","frc3528","24"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm83","qm","1","83","frc1108","frc1763","frc3784","28","frc2357","frc3507","frc3931","9"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm84","qm","1","84","frc1782","frc2353","frc3284","22","frc2874","frc2949","frc3973","27"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm85","qm","1","85","frc1777","frc1994","frc1997","24","frc1652","frc1775","frc1802","14"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm86","qm","1","86","frc3485","frc935","frc937","21","frc2345","frc2457","frc3798","27"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm87","qm","1","87","frc1723","frc1984","frc2001","24","frc1847","frc2164","frc525","19"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm88","qm","1","88","frc1448","frc1825","frc3528","38","frc1810","frc1982","frc938","16"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm89","qm","1","89","frc2353","frc3507","frc931","15","frc1782","frc1987","frc2972","3"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm90","qm","1","90","frc1985","frc2560","frc2996","16","frc1208","frc1777","frc3284","33"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm91","qm","1","91","frc3485","frc3931","frc967","29","frc1806","frc1986","frc2874","48"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm92","qm","1","92","frc1094","frc1652","frc1730","25","frc2395","frc2410","frc4208","7"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm93","qm","1","93","frc1939","frc2949","frc3784","15","frc1108","frc1769","frc1994","11"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm94","qm","1","94","frc16","frc1997","frc2335","64","frc1737","frc2167","frc2346","7"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm95","qm","1","95","frc1785","frc1802","frc2457","16","frc1763","frc1827","frc3973","5"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm96","qm","1","96","frc1764","frc2357","frc3764","9","frc1775","frc2004","frc662","14"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf1m1","qf","1","1","frc16","frc1986","frc3784","26","frc1775","frc1985","frc3284","43"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf1m2","qf","1","2","frc16","frc1986","frc3784","89","frc1775","frc1985","frc3284","41"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf1m3","qf","1","3","frc16","frc1986","frc3784","48","frc1775","frc1985","frc3284","47"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf2m1","qf","2","1","frc1730","frc1806","frc2949","25","frc1094","frc1982","frc1987","39"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf2m2","qf","2","2","frc1730","frc1806","frc2949","43","frc1094","frc1982","frc1987","16"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf2m3","qf","2","3","frc1730","frc1806","frc2949","21","frc1094","frc1982","frc1987","26"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf3m1","qf","3","1","frc1802","frc3528","frc525","56","frc1984","frc2346","frc3507","34"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf3m2","qf","3","2","frc1802","frc3528","frc525","39","frc1984","frc2346","frc3507","37"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf4m1","qf","4","1","frc1208","frc1769","frc935","27","frc1825","frc1997","frc967","48"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf4m2","qf","4","2","frc1208","frc1769","frc935","56","frc1825","frc1997","frc967","18"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qf4m3","qf","4","3","frc1208","frc1769","frc935","63","frc1825","frc1997","frc967","38"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_sf1m1","sf","1","1","frc16","frc1986","frc3784","34","frc1094","frc1982","frc1987","47"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_sf1m2","sf","1","2","frc16","frc1986","frc3784","72","frc1094","frc1982","frc1987","10"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_sf1m3","sf","1","3","frc16","frc1986","frc3784","63","frc1094","frc1982","frc1987","30"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_sf2m1","sf","2","1","frc1802","frc3528","frc525","38","frc1208","frc1769","frc935","55"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_sf2m2","sf","2","2","frc1802","frc3528","frc525","40","frc1208","frc1769","frc935","54"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_f1m1","f","1","1","frc16","frc1986","frc3784","73","frc1208","frc1769","frc935","48"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_f1m2","f","1","2","frc16","frc1986","frc3784","68","frc1208","frc1769","frc935","49"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm1","qm","1","1","frc138","frc1831","frc61","16","frc1153","frc1729","frc20","1"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm2","qm","1","2","frc1547","frc2342","frc58","22","frc1517","frc1519","frc166","0"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm3","qm","1","3","frc3451","frc509","frc78","11","frc1247","frc1289","frc4403","9"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm4","qm","1","4","frc1058","frc126","frc3597","32","frc1493","frc1922","frc213","19"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm5","qm","1","5","frc131","frc2791","frc3467","37","frc151","frc157","frc172","9"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm6","qm","1","6","frc134","frc501","frc885","37","frc1824","frc238","frc3585","3"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm7","qm","1","7","frc133","frc1721","frc3609","15","frc3323","frc811","frc95","28"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm8","qm","1","8","frc175","frc4034","frc716","44","frc1277","frc1307","frc319","22"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm9","qm","1","9","frc1073","frc138","frc78","11","frc1058","frc1512","frc1922","2"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm10","qm","1","10","frc1247","frc238","frc58","19","frc1729","frc1824","frc4403","12"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm11","qm","1","11","frc1721","frc501","frc509","2","frc3467","frc3597","frc3609","36"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm12","qm","1","12","frc126","frc1277","frc61","15","frc1289","frc166","frc885","12"
